frame,filename,pass_id,t,speed,yaw_rate,sharpness,n_edge,du,dv,du_mad,dv_mad,inlier8,n_edge_other,du_other,dv_other,de_nt,geometry_ok,pass_conflict,motion_ok,sharp_ok,cls,reasons
149,260408_115102768.jpg,0,300728.267938,9.2,0.41,185.7,1076,0.17,0.9,5.16,13.27,0.212,0,nan,nan,4.2250000000000005,True,False,True,True,clean,
150,260408_115103312.jpg,0,300728.812039,9.22,0.17,197.7,1017,-1.15,1.98,8.1,11.24,0.228,0,nan,nan,4.2250000000000005,True,False,True,True,clean,
151,260408_115103856.jpg,0,300729.356139,9.22,0.11,204.0,963,-0.2,1.97,5.63,14.24,0.173,0,nan,nan,4.2250000000000005,True,False,True,True,clean,
152,260408_115104400.jpg,0,300729.90024,9.23,0.2,201.3,1101,-0.24,-0.03,8.27,15.36,0.183,0,nan,nan,5.7250000000000005,True,False,True,True,clean,
153,260408_115104944.jpg,0,300730.444341,9.23,0.46,193.8,846,0.01,-0.5,7.98,14.07,0.159,0,nan,nan,4.075,True,False,True,True,clean,
154,260408_115105488.jpg,0,300730.988441,9.23,0.46,196.6,935,1.25,-2.12,9.52,11.88,0.161,0,nan,nan,6.175000000000001,True,False,True,True,clean,
155,260408_115106032.jpg,0,300731.532542,9.22,0.21,206.9,895,0.31,-1.48,9.82,10.69,0.192,0,nan,nan,5.025,True,False,True,True,clean,
156,260408_115106576.jpg,0,300732.076643,9.21,0.01,206.8,882,-0.88,-2.83,9.87,13.32,0.211,0,nan,nan,3.975,True,False,True,True,clean,
157,260408_115107120.jpg,0,300732.620743,9.19,0.18,214.4,722,0.33,-4.09,9.35,11.79,0.198,0,nan,nan,3.725,True,False,True,True,clean,
158,260408_115107664.jpg,0,300733.164844,9.17,0.35,222.0,921,0.31,-0.85,4.02,9.57,0.451,0,nan,nan,3.7750000000000004,True,False,True,True,clean,
159,260408_115108208.jpg,0,300733.708945,9.15,0.34,211.8,569,-0.28,-4.82,6.48,12.7,0.247,0,nan,nan,3.7750000000000004,True,False,True,True,clean,
160,260408_115108752.jpg,0,300734.253045,9.13,0.08,195.8,834,0.71,-0.07,6.94,12.62,0.251,0,nan,nan,3.825,True,False,True,True,clean,
